"0",""
"0","data_to_plot <- tibble(Date_Alaska = time_series_cases$Alaska$date[seq(1,1300,by=100)],"
"0","Cases_Alaska = time_series_cases$Alaska$cases[seq(1,1300,by=100)],"
"0","Date_California = time_series_cases$California$date[seq(1,1300,by=100)],"
"0","Cases_California = time_series_cases$California$cases[seq(1,1300,by=100)],"
"0","Date_New_Jersey = time_series_cases$New_Jersey$date[seq(1,1300,by=100)],"
"0","Cases_New_Jersey = time_series_cases$New_Jersey$cases[seq(1,1300,by=100)],"
"0","Date_Tennessee = time_series_cases$Tennessee$date[seq(1,1300,by=100)],"
"0","Cases_Tennessee = time_series_cases$Tennessee$cases[seq(1,1300,by=100)],"
"0","Date_District_of_Columbia = time_series_cases$District_of_Columbia$date[seq(1,1300,by=100)],"
"0","Cases_District_of_Columbia = time_series_cases$District_of_Columbia$cases[seq(1,1300,by=100)])"
"0",""
"0","data_to_plot"
